Source,Target,SourcePort,TargetPort,Channel
NOC_NMU512_X0Y17,NOC_NPS_VNOC_X0Y35,resp_in,port3_out,567
NOC_NMU512_X0Y17,NOC_NPS_VNOC_X0Y35,req_out,port3_in,560
NOC_NPS_VNOC_X0Y35,NOC_NPS_VNOC_X0Y34,port1_in,port1_out,581
NOC_NPS_VNOC_X0Y35,NOC_NPS_VNOC_X0Y34,port1_out,port1_in,565
NOC_NPS_VNOC_X0Y34,NOC_NSU512_X0Y17,port3_in,resp,596
NOC_NPS_VNOC_X0Y34,NOC_NSU512_X0Y17,port3_out,req,583
NOC_NPS_VNOC_X0Y35,NOC_NPS_VNOC_X0Y33,port2_out,port0_in,566
NOC_NPS_VNOC_X0Y35,NOC_NPS_VNOC_X0Y33,port2_in,port0_out,604
NOC_NPS_VNOC_X0Y34,NOC_NPS_VNOC_X0Y32,port0_out,port2_in,580
NOC_NPS_VNOC_X0Y34,NOC_NPS_VNOC_X0Y32,port0_in,port2_out,622
NOC_NMU512_X0Y16,NOC_NPS_VNOC_X0Y33,resp_in,port3_out,607
NOC_NMU512_X0Y16,NOC_NPS_VNOC_X0Y33,req_out,port3_in,600
NOC_NPS_VNOC_X0Y33,NOC_NPS_VNOC_X0Y32,port1_in,port1_out,621
NOC_NPS_VNOC_X0Y33,NOC_NPS_VNOC_X0Y32,port1_out,port1_in,605
NOC_NPS_VNOC_X0Y32,NOC_NSU512_X0Y16,port3_in,resp,636
NOC_NPS_VNOC_X0Y32,NOC_NSU512_X0Y16,port3_out,req,623
NOC_NPS_VNOC_X0Y33,NOC_NPS_VNOC_X0Y31,port2_out,port0_in,606
NOC_NPS_VNOC_X0Y33,NOC_NPS_VNOC_X0Y31,port2_in,port0_out,644
NOC_NPS_VNOC_X0Y32,NOC_NPS_VNOC_X0Y30,port0_out,port2_in,620
NOC_NPS_VNOC_X0Y32,NOC_NPS_VNOC_X0Y30,port0_in,port2_out,662
NOC_NMU512_X0Y15,NOC_NPS_VNOC_X0Y31,resp_in,port3_out,647
NOC_NMU512_X0Y15,NOC_NPS_VNOC_X0Y31,req_out,port3_in,640
NOC_NPS_VNOC_X0Y31,NOC_NPS_VNOC_X0Y30,port1_in,port1_out,661
NOC_NPS_VNOC_X0Y31,NOC_NPS_VNOC_X0Y30,port1_out,port1_in,645
NOC_NPS_VNOC_X0Y30,NOC_NSU512_X0Y15,port3_in,resp,676
NOC_NPS_VNOC_X0Y30,NOC_NSU512_X0Y15,port3_out,req,663
NOC_NPS_VNOC_X0Y31,NOC_NPS_VNOC_X0Y29,port2_out,port0_in,646
NOC_NPS_VNOC_X0Y31,NOC_NPS_VNOC_X0Y29,port2_in,port0_out,684
NOC_NPS_VNOC_X0Y30,NOC_NPS_VNOC_X0Y28,port0_out,port2_in,660
NOC_NPS_VNOC_X0Y30,NOC_NPS_VNOC_X0Y28,port0_in,port2_out,702
NOC_NMU512_X0Y14,NOC_NPS_VNOC_X0Y29,resp_in,port3_out,687
NOC_NPS_VNOC_X0Y29,NOC_NPS_VNOC_X0Y28,port1_in,port1_out,701
NOC_NPS_VNOC_X0Y29,NOC_NPS_VNOC_X0Y28,port1_out,port1_in,685
NOC_NMU512_X0Y14,NOC_NPS_VNOC_X0Y29,req_out,port3_in,680
NOC_NPS_VNOC_X0Y28,NOC_NSU512_X0Y14,port3_in,resp,716
NOC_NPS_VNOC_X0Y28,NOC_NSU512_X0Y14,port3_out,req,703
NOC_NPS_VNOC_X0Y29,NOC_NPS_VNOC_X0Y27,port2_out,port0_in,686
NOC_NPS_VNOC_X0Y29,NOC_NPS_VNOC_X0Y27,port2_in,port0_out,724
NOC_NPS_VNOC_X0Y28,NOC_NPS_VNOC_X0Y26,port0_out,port2_in,700
NOC_NPS_VNOC_X0Y28,NOC_NPS_VNOC_X0Y26,port0_in,port2_out,742
NOC_NMU512_X0Y13,NOC_NPS_VNOC_X0Y27,resp_in,port3_out,727
NOC_NMU512_X0Y13,NOC_NPS_VNOC_X0Y27,req_out,port3_in,720
NOC_NPS_VNOC_X0Y27,NOC_NPS_VNOC_X0Y26,port1_in,port1_out,741
NOC_NPS_VNOC_X0Y27,NOC_NPS_VNOC_X0Y26,port1_out,port1_in,725
NOC_NPS_VNOC_X0Y26,NOC_NSU512_X0Y13,port3_in,resp,756
NOC_NPS_VNOC_X0Y26,NOC_NSU512_X0Y13,port3_out,req,743
NOC_NPS_VNOC_X0Y26,NOC_NPS7575_X4Y6,port0_out,port1_in,740
NOC_NPS_VNOC_X0Y26,NOC_NPS7575_X4Y6,port0_in,port1_out,785
NOC_NPS_VNOC_X0Y27,NOC_NPS7575_X4Y7,port2_out,port3_in,726
NOC_NPS7575_X4Y7,NOC_NPS_VNOC_X0Y27,port3_out,port2_in,791
NOC_NPS5555_X7Y0,NOC_NPS5555_X9Y0,port2_in,port0_out,1781
NOC_NPS5555_X9Y0,NOC_NPS5555_X7Y0,port0_in,port2_out,1761
NOC_NPS5555_X7Y0,NOC_NPS5555_X7Y1,port3_out,port1_in,1762
NOC_NPS5555_X7Y0,NOC_NPS5555_X7Y1,port3_in,port1_out,1764
NOC_NPS5555_X6Y0,NOC_NPS5555_X8Y0,port2_in,port0_out,1770
NOC_NPS5555_X8Y0,NOC_NPS5555_X6Y0,port0_in,port2_out,1751
NOC_NPS5555_X6Y0,NOC_NPS5555_X6Y1,port3_out,port1_in,1752
NOC_NPS5555_X6Y0,NOC_NPS5555_X6Y1,port3_in,port1_out,1754
NOC_NPS5555_X6Y1,NOC_NPS_VNOC_X0Y1,port0_out,port2_in,1753
NOC_NPS_VNOC_X0Y1,NOC_NPS5555_X6Y1,port2_out,port0_in,1654
NOC_NPS5555_X6Y1,NOC_NPS5555_X7Y1,port2_in,port0_out,1763
NOC_NPS5555_X7Y1,NOC_NPS5555_X6Y1,port0_in,port2_out,1755
NOC_NPS5555_X7Y1,NOC_NPS_VNOC_X0Y0,port2_in,port0_out,1668
NOC_NPS_VNOC_X0Y0,NOC_NPS5555_X7Y1,port0_in,port2_out,1765
NOC_NPS5555_X6Y1,NOC_NPS5555_X6Y2,port3_out,port1_in,1756
NOC_NPS5555_X6Y1,NOC_NPS5555_X6Y2,port3_in,port1_out,1758
NOC_NPS5555_X7Y1,NOC_NPS5555_X7Y2,port3_out,port1_in,1766
NOC_NPS5555_X7Y1,NOC_NPS5555_X7Y2,port3_in,port1_out,1768
NOC_NPS5555_X7Y2,NOC_NPS5555_X9Y2,port2_in,port0_out,1788
NOC_NPS5555_X7Y2,NOC_NPS5555_X9Y2,port2_out,port0_in,1769
NOC_NPS5555_X6Y2,NOC_NPS5555_X8Y2,port2_in,port0_out,1777
NOC_NPS5555_X6Y2,NOC_NPS5555_X8Y2,port2_out,port0_in,1759
NOC_NPS5555_X9Y0,NOC_NPS5555_X11Y0,port2_in,port0_out,1801
NOC_NPS5555_X11Y0,NOC_NPS5555_X9Y0,port0_in,port2_out,1783
NOC_NPS5555_X9Y0,NOC_NPS5555_X9Y1,port3_out,port1_in,1784
NOC_NPS5555_X9Y0,NOC_NPS5555_X9Y1,port3_in,port1_out,1786
NOC_NPS5555_X9Y0,DDRMC_X1Y0,port1_out,Port3_req,1782
DDRMC_X1Y0,NOC_NPS5555_X9Y0,Port3_resp,port1_in,1953
NOC_NPS5555_X8Y0,NOC_NPS5555_X10Y0,port2_in,port0_out,1792
NOC_NPS5555_X10Y0,NOC_NPS5555_X8Y0,port0_in,port2_out,1772
NOC_NPS5555_X8Y0,DDRMC_X1Y0,port1_out,Port0_req,1771
DDRMC_X1Y0,NOC_NPS5555_X8Y0,Port0_resp,port1_in,1950
NOC_NPS5555_X8Y0,NOC_NPS5555_X8Y1,port3_out,port1_in,1773
NOC_NPS5555_X8Y0,NOC_NPS5555_X8Y1,port3_in,port1_out,1774
NOC_NPS5555_X9Y1,NOC_NPS5555_X8Y1,port0_out,port2_in,1785
NOC_NPS5555_X9Y1,NOC_NPS5555_X8Y1,port0_in,port2_out,1775
NOC_NPS5555_X9Y1,NOC_NPS5555_X9Y2,port3_out,port1_in,1787
NOC_NPS5555_X9Y1,NOC_NPS5555_X9Y2,port3_in,port1_out,1789
NOC_NPS5555_X8Y1,NOC_NPS5555_X8Y2,port3_in,port1_out,1778
NOC_NPS5555_X8Y1,NOC_NPS5555_X8Y2,port3_out,port1_in,1776
NOC_NPS5555_X9Y2,DDRMC_X1Y0,port3_out,Port2_req,1791
NOC_NPS5555_X9Y2,DDRMC_X1Y0,port3_in,Port2_resp,1952
NOC_NPS5555_X9Y2,NOC_NPS5555_X11Y2,port2_in,port0_out,1808
NOC_NPS5555_X11Y2,NOC_NPS5555_X9Y2,port0_in,port2_out,1790
NOC_NPS5555_X8Y2,NOC_NPS5555_X10Y2,port2_in,port0_out,1798
NOC_NPS5555_X10Y2,NOC_NPS5555_X8Y2,port0_in,port2_out,1779
NOC_NPS5555_X8Y2,DDRMC_X1Y0,port3_out,Port1_req,1780
DDRMC_X1Y0,NOC_NPS5555_X8Y2,Port1_resp,port3_in,1951
NOC_NPS5555_X11Y0,NOC_NPS5555_X13Y0,port2_in,port0_out,1821
NOC_NPS5555_X13Y0,NOC_NPS5555_X11Y0,port0_in,port2_out,1802
NOC_NPS5555_X11Y0,NOC_NPS5555_X11Y1,port3_out,port1_in,1803
NOC_NPS5555_X11Y0,NOC_NPS5555_X11Y1,port3_in,port1_out,1805
NOC_NPS5555_X13Y0,NOC_NPS5555_X15Y0,port2_in,port0_out,1841
